latitude,longitude,blue_band,green_band,depth,stumpf_ratio,log_blue,log_green,bg_ratio
6.835416667,75.16875,0.0646,0.0556,2713,1.037338071,-2.739540868,-2.889572078,1.161870504
16.83541667,72.25208333,0.0468,0.0356,94,1.076570856,-3.061872076,-3.335409641,1.314606742
11.50208333,89.66875,0.036,0.0157,3149,1.30136546,-3.324236341,-4.154094567,2.292993631
8.91875,79.12708333,0.04605,0.041,245,1.031278697,-3.078027516,-3.194183212,1.123170732
18.50208333,71.04375,0.04295,0.02735,87,1.13640338,-3.147718631,-3.59903875,1.570383912
18.62708333,87.54375,0.0609,0.05,2324,1.050411301,-2.798522104,-2.995732274,1.218
20.71041667,72.75208333,0.07515,0.0972,7,0.943784688,-2.588269163,-2.330984568,0.773148148
16.37708333,72.66875,0.04275,0.0342,81,1.06317364,-3.152386084,-3.375529635,1.25
12.66875,73.04375,0.0457,0.0396,1989,1.038944233,-3.085656981,-3.228926161,1.154040404
9.585416667,80.66875,0.0874,0.07655,24,1.030556217,-2.437259996,-2.569811157,1.141737427
9.54375,82.25208333,0.0475,0.0348,3716,1.087646721,-3.047025568,-3.358137892,1.364942529
7.752083333,82.87708333,0.067,0.0576,3873,1.037293502,-2.70306266,-2.854232711,1.163194444
7.085416667,74.87708333,0.0688,0.067,2765,1.006305128,-2.676551534,-2.70306266,1.026865672
7.210416667,72.08541667,0.0436,0.0298,2639,1.112107178,-3.132698129,-3.513246885,1.463087248
12.91875,73.29375,0.0374,0.0245,2019,1.13224158,-3.286084575,-3.709082161,1.526530612
16.71041667,70.96041667,0.0237,0.0129,2735,1.237854388,-3.742280231,-4.350527968,1.837209302
13.96041667,72.58541667,0.0439,0.029,1531,1.123130996,-3.125840959,-3.540459449,1.513793103
16.33541667,83.29375,0.0457,0.031,2778,1.113020542,-3.085656981,-3.473768074,1.474193548
11.12708333,75.46041667,0.0462,0.0381,47,1.052954442,-3.074775481,-3.267540997,1.212598425
20.29375,87.58541667,0.03425,0.02665,90,1.076428123,-3.374068714,-3.624966128,1.285178236
7.04375,78.50208333,0.03635,0.02885,2515,1.068731901,-3.314561075,-3.545645286,1.259965338
12.91875,72.96041667,0.0412,0.033,1955,1.063472105,-3.189317023,-3.411247718,1.248484848
14.46041667,72.87708333,0.0391,0.02645,424,1.119339157,-3.241632812,-3.632499121,1.47826087
6.29375,79.37708333,0.0706,0.0555,2402,1.059916378,-2.650725134,-2.891372258,1.272072072
